author;comment;;;;;;;;;;;;;;;;
@edywirawan3225;Ini baru pendidikan dengan pendekatan hati, bukan pendekatan dengan kaki artinya hatinya yang paling dalam disentuh ( lewat kasih sayang )bukan  kakinya yang disentuh alias dengan kekerasan.;;;;;;;;;;;;;;;;
"KDM Memang Hebaaaat.""";;;;;;;;;;;;;;;;;
@RosnidaBrtanggang;Tolong anak saya ada sangat bandel saya mau nitip anak saya;;;;;;;;;;;;;;;;
@RosnidaBrtanggang;Saya mau nitip anak ku, mau mendaftar kan sma apa ada di kerinci pak;;;;;;;;;;;;;;;;
@RosnidaBrtanggang;Apa ada ini di kerinci pak;;;;;;;;;;;;;;;;
@rudalsqud926;Seharusnya pemerintah dan gubernur lain membuat program yang sama dengan KDM, biar generasi muda Indonesia bisa menjadi lebih baik..;;;;;;;;;;;;;;;;
@naningselmaya6624;12:37;;;;;;;;;;;;;;;;
@limfaqot1140;26:00 KDM ga kuat menahan haru bahagia melihat perkembangan adek² kita ini ...???;;;;;;;;;;;;;;;;
@limfaqot1140;Sehat slalu KDM dan Omzein ????;;;;;;;;;;;;;;;;
@Rambo-dd1hm;Dikit sekali anak anak Jawa Barat;;;;;;;;;;;;;;;;
@RustamMadjid-qy9me;Mantap ????;;;;;;;;;;;;;;;;
@Elshanumalmahera;Keren;;;;;;;;;;;;;;;;
@MuyangAsaren;Bravo buat KDM salam bangga dari Madura dan Papua NKRI harga mati;;;;;;;;;;;;;;;;
@zamchannel4298;Lombok hadir;;;;;;;;;;;;;;;;
@BathanDalal;Pa ank abi ank yatim susah d omng ank nya pinter tapi ngelawan trus bhsa kasar trus pa solusi nya pa;;;;;;;;;;;;;;;;
@Ciko95-j4c;Mantap kang KDM programnya di sukai masarakat ??sukses selalu kang DEDI;;;;;;;;;;;;;;;;
@Geansarahumaira;Uang dari Rakyat kembali ke Rakyat tuh ini. Biasanya yg bisa ikut latihan militer begini kalangan atas dimna pendaftaranya juga harus mengeluarkan biaya yg mahal 100jt lebih. Uang pangkal 50jt di SMA taruna Magelang. Ini gratis tis masyaallah bangga sekali saya kang Dedi sebagai orang jabar masyallah sehat2. Gini kok kemarin ada yg nolak tau kan alasannya ? Tikus2 minggir plisss;;;;;;;;;;;;;;;;
@ghifarichanel;Aku warga lombok ingin punya pemimpin seperti KDM;;;;;;;;;;;;;;;;
@usmankaligrenjeng4306;salut;;;;;;;;;;;;;;;;
@AyuHanyut;Kereenn bangeett pakkk????;;;;;;;;;;;;;;;;
@AbdulRahman-wl3pj;Cari pemimpin yg mau urus anak orang lain sampai seperti ..;;;;;;;;;;;;;;;;
"Cari pemimpin selain kdm yg mau mnggelontorkan segala nya untuk anak bangsa ..""";;;;;;;;;;;;;;;;;
@RasyaRasya-b6f8f;Kang Dedi mulyadi;;;;;;;;;;;;;;;;
@novitegar9173;Coba gubenur NTB seperti kdm?;;;;;;;;;;;;;;;;
@edwindwi3475;INI ANAK-ANAK HEBAT MASA DEPAN, BUKAN ANAK-ANAK NAKAL LAGI;;;;;;;;;;;;;;;;
@helenyerussa7733;Kereen program nya, pernah merasakan anak waktu SMP, SERING BOLOS, KADANG TAWURAN, RASA NYA BINGUNG Harus BAGAIMANA, tapi puji Tuhan sekarang sudah lulus dan kerja. saya sebagai orang tua,  salut buat program ini;;;;;;;;;;;;;;;;
@mbakaminah2954;Salut kepada bapk KDM.. ;;;;;;;;;;;;;;;;
"Beliau mengucapkan demi masa depan bangsa dgn menitikkan airmata""";;;;;;;;;;;;;;;;;
@virdiniyah7627;Ini pencitraan yg bagus, jgn kaya pemimpin yg lain. Semoga menyeluruh ke seluruh indonesia;;;;;;;;;;;;;;;;
@putupuput3109;Terimakasih pak KDM, pak TNI ? seru bangettt;;;;;;;;;;;;;;;;
@mhankkakkoi5475;LUAR BIASA kamai dari BALI sangat iri dengan kepemimpinan Bapak ??;;;;;;;;;;;;;;;;
@FitriNovianti-w1m;Tolong doong KDM carikan saya salah satu warga mu agar aku bisa pindah jadi warga mu jga pindah ktp jadi warga jawa barat ;;;;;;;;;;;;;;;;
"Pemimpinya aja bikin jatuh cinta apa lgi warga nya ???????????????""";;;;;;;;;;;;;;;;;
@romliajza6353;Smoga anak2 penerus pahlawan negara bisa bisa membanggakan kluarganya & negaranya, sukses & sehat selalu buat smuanya khusus buat bpk gubernur jabar kang DEDY, saya rakyat JATIM ikut senang & bangga.;;;;;;;;;;;;;;;;
@RinaPuspitasari-g3d;Semoga gubernur lainnya bisa mengikuti jejak Jawa barat;;;;;;;;;;;;;;;;
@nandifaisal5178;Bangga aing jadi orang jawa barat;;;;;;;;;;;;;;;;
@nursamsi7041;Aku nnton terharu y;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@StupaJuli;Nunggu gebrakan libas rentenir penjahat rakyat kecil;;;;;;;;;;;;;;;;
@Parman-k4l;Pa maap ada nyang menatasnamakan bp;;;;;;;;;;;;;;;;
@YiyinMujainah;Pak Dedi Si Kudus ????;;;;;;;;;;;;;;;;
@devilaily4680;Perlu dicontoh di daerah lain krn ini didikan bagus untuk melatih kedisplinan dan merubah pola pikir generasi muda INDONESIA;;;;;;;;;;;;;;;;
@achmadsalim9932;????????? semangat kawan, MERDEKA  !!!;;;;;;;;;;;;;;;;
@hadikey7991;kalau ini di ZAMAN sekolah GUA pengen ikut .... gua di SMKN JURUSAN PELAYARAN KETAGIHAN KAYAK GINI ......;;;;;;;;;;;;;;;;
@GloriaDwiPutri10;Pa adek ku pa pliss udah smp jugaa..  Udah terlalu open minded ngarah ke negative paa;;;;;;;;;;;;;;;;
@ikadekaristasumawan1072;Dari bali bisakah nitip anak ke barak TNI;;;;;;;;;;;;;;;;
@NurulHasanah-hi7yr;Saya Madura siap dukung PK Dedi mulyadi;;;;;;;;;;;;;;;;
@miakamilla9689;Keren program pak gurbenur Jawa barat mantap????????;;;;;;;;;;;;;;;;
@FennyNovianty-f3q;Mohon solusi untuk anak yg tidak sekolah karena orang tua nya tidak mampu,untuk makan saja susah.;;;;;;;;;;;;;;;;
